time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-01-05 00:00:00+00:00,1.0,1.0,18.0,6.0
2022-01-06 00:00:00+00:00,,,7.0,7.0
2022-01-07 00:00:00+00:00,,,7.0,6.0
2022-01-08 00:00:00+00:00,2.0,1.0,,
2022-01-10 00:00:00+00:00,,,1.0,1.0
2022-01-11 00:00:00+00:00,,,2.0,2.0
2022-01-12 00:00:00+00:00,,,22.0,3.0
2022-01-13 00:00:00+00:00,,,8.0,4.0
2022-01-14 00:00:00+00:00,,,2.0,1.0
2022-01-16 00:00:00+00:00,3.0,2.0,6.0,1.0
2022-01-17 00:00:00+00:00,1.0,1.0,3.0,2.0
